time,ACCx,ACCy,ACCz,ACCnorm,,
0.934502,0.040016,0.032696,-0.27206,0.276924091,141,
0.940238,0.04026,0.033184,-0.27572,0.280612836,142,
0.946023,0.035624,0.038552,-0.287188,0.291945669,143,
0.951845,0.036112,0.044408,-0.292068,0.297623695,144,
0.95763,0.032208,0.046116,-0.303292,0.308464063,145,
0.963513,0.028548,0.053436,-0.309148,0.31502838,146,
0.969327,0.027084,0.052704,-0.309636,0.315254988,147,
0.975025,0.02806,0.054168,-0.30866,0.314630786,148,
0.980786,0.030012,0.055144,-0.308416,0.314741179,149,
0.986544,0.028792,0.053924,-0.302072,0.308195182,150,
0.992415,0.02074,0.050752,-0.300364,0.305326785,151,
0.998193,0.019764,0.044408,-0.303048,0.30692145,152,
0.00406,0.016348,0.043676,-0.308904,0.312404435,153,
0.009838,0.013176,0.049532,-0.31476,0.31890576,154,
0.015598,0.013908,0.059536,-0.315736,0.321600979,155,
0.021353,0.00976,0.071004,-0.314272,0.322340993,156,
0.027141,0.009272,0.075884,-0.309148,0.318460103,157,
0.032968,0.0122,0.068808,-0.304756,0.312665317,158,
0.038755,0.01586,0.060268,-0.294996,0.301506901,159,
0.044613,0.021228,0.056852,-0.291336,0.297589386,160,
0.050415,0.019764,0.05124,-0.284016,0.289277102,161,
0.056184,0.02196,0.039528,-0.28182,0.285424625,162,
0.061937,0.027328,0.036112,-0.286944,0.290495706,163,
0.067726,0.030988,0.030256,-0.289384,0.292606871,164,
0.073617,0.040016,0.025132,-0.294996,0.298756653,165,
0.07941,0.050508,0.022448,-0.29524,0.300369153,166,
0.085186,0.122732,0.016836,-0.292068,0.317254332,167,
0.091017,0.077104,0.00854,-0.284992,0.295361471,168,
0.096774,0.089548,-0.000732,-0.276452,0.290594371,169,
0.102632,0.0915,-0.009516,-0.276452,0.291356333,170,
0.10841,0.090524,-0.02562,-0.279868,0.295257644,171,
0.114294,0.080276,-0.031232,-0.29402,0.306377927,172,
0.120082,0.071004,-0.045628,-0.37332,0.382741825,173,
0.125857,0.065636,-0.066124,-0.333792,0.346550959,174,
0.131634,0.061,-0.075396,-0.360632,0.37344477,175,
0.137452,0.058072,-0.086132,-0.375028,0.389149174,176,
0.143439,0.05612,-0.102236,-0.394304,0.4111901,177,
0.149273,0.059536,-0.104188,-0.412604,0.429699587,178,
0.157239,0.064416,-0.110044,-0.410164,0.429527193,179,
0.163121,0.062464,-0.106872,-0.40748,0.425867733,180,
0.168967,0.059536,-0.11224,-0.403088,0.422637302,181,
0.17477,0.06344,-0.117608,-0.407236,0.428599387,182,
0.180556,0.06954,-0.116144,-0.410652,0.432389067,183,
0.186332,0.071248,-0.119072,-0.416508,0.439014046,184,
0.192164,0.065392,-0.116144,-0.410408,0.431509292,185,
0.198056,0.05856,-0.108824,-0.3965,0.415312156,186,
0.20395,0.045384,-0.10126,-0.36844,0.384787381,187,
0.209755,0.041724,-0.087352,-0.350384,0.363510951,188,
0.215541,0.046116,-0.074664,-0.35014,0.360970107,189,
0.221324,0.049044,-0.077836,-0.345992,0.358014275,190,
0.227106,0.04514,-0.087596,-0.338672,0.352717171,191,
0.232948,0.044652,-0.089792,-0.33794,0.352505103,192,
0.238759,0.049044,-0.092964,-0.332816,0.34901878,193,
0.244481,0.051972,-0.093208,-0.33184,0.348577976,194,
0.250136,0.055876,-0.09272,-0.33916,0.35601774,195,
0.25576,0.05246,-0.0915,-0.343796,0.359610889,196,
0.26137,0.049776,-0.0854,-0.3477,0.361477662,197,
0.266992,0.045872,-0.080276,-0.353556,0.365445374,198,
0.272687,0.033672,-0.07442,-0.344284,0.353841225,199,
0.278319,0.03294,-0.064904,-0.325008,0.333058212,200,
0.284061,0.038796,-0.05734,-0.304756,0.312520759,201,
0.289703,0.04514,-0.046848,-0.292068,0.299225787,202,
0.295328,0.0427,-0.045628,-0.273036,0.280096165,203,
0.301024,0.04026,-0.049776,-0.264984,0.272607847,204,
0.306656,0.038796,-0.061,-0.266448,0.276080905,205,
0.312371,0.050508,-0.067588,-0.266692,0.279720966,206,
0.318001,0.053924,-0.072956,-0.262544,0.277776399,207,
0.323745,0.056364,-0.075884,-0.253272,0.270336805,208,
0.329374,0.058804,-0.086376,-0.24522,0.266555008,209,
0.334994,0.062952,-0.093452,-0.243268,0.268096159,210,
0.340668,0.063928,-0.094672,-0.239364,0.265225755,211,
0.34736,0.070028,-0.09272,-0.232776,0.260164535,212,
0.352988,0.0671,-0.091744,-0.227896,0.25466833,213,
0.358547,0.061732,-0.098576,-0.224968,0.253256132,214,
0.364336,0.067588,-0.116144,-0.234484,0.270259713,215,
0.37,0.066368,-0.121024,-0.238144,0.275252765,216,
0.375561,0.064416,-0.116876,-0.240584,0.275118305,217,
0.381324,0.12444,-0.145424,-0.251564,0.316097927,218,
0.386954,0.04758,-0.17812,-0.261812,0.320212608,219,
0.392652,0.00366,-0.087108,-0.243512,0.258648977,220,
0.398268,0.00122,-0.020984,-0.24034,0.241257398,221,
0.40402,-0.005612,-0.01098,-0.228628,0.228960296,222,
0.409647,-0.004636,-0.02196,-0.217892,0.219044876,223,
0.415268,0.005124,-0.103944,-0.2074,0.232046053,224,
0.420906,0.007564,-0.077592,-0.203008,0.217462596,225,
0.42654,0.005368,-0.08174,-0.190076,0.206976155,226,
0.432254,0.01342,-0.085156,-0.18544,0.204498495,227,
0.438696,0.008052,-0.085888,-0.180316,0.199888577,228,
0.444578,0.005124,-0.112728,-0.160552,0.196241693,229,
0.450192,-0.0061,-0.124928,-0.164456,0.206615564,230,
0.457124,0.007076,-0.069296,-0.177388,0.190574153,231,
0.462747,0.018544,-0.062952,-0.16958,0.181835669,232,
0.468304,0.0122,-0.06222,-0.174216,0.185395208,233,
0.474089,0.018056,-0.065148,-0.191052,0.202660178,234,
0.479707,0.027816,-0.081008,-0.199348,0.21696924,235,
0.485258,0.027084,-0.075884,-0.22936,0.243100667,236,
0.490916,0.02318,-0.07442,-0.253516,0.265228224,237,
0.496687,0.023424,-0.077592,-0.266448,0.278502673,238,
0.503808,0.018544,-0.079056,-0.27206,0.283919662,239,
0.509444,0.01952,-0.09028,-0.266204,0.281773097,240,
0.514986,0.03416,-0.102724,-0.26962,0.290540996,241,
0.520621,0.040016,-0.120292,-0.275476,0.303246553,242,
0.526264,0.047824,-0.135176,-0.282796,0.317069809,243,
0.531827,0.049776,-0.138836,-0.28914,0.324584388,244,
0.537385,0.032208,-0.138592,-0.290604,0.323567277,245,
0.543264,0.01952,-0.111752,-0.294752,0.315829513,246,
0.548895,0.011712,-0.079788,-0.296948,0.307703446,247,
0.554604,0.009516,-0.000488,-0.300852,0.301002854,248,
0.560245,0.013176,-0.04636,-0.36844,0.371578915,249,
0.565968,0.012688,-0.041724,-0.32452,0.327437182,250,
0.571592,0.016348,-0.045872,-0.340136,0.343604418,251,
0.577274,0.02318,-0.04758,-0.348432,0.352428755,252,
0.582983,0.03172,-0.052704,-0.368196,0.373299028,253,
0.588615,0.03538,-0.063196,-0.38796,0.394662439,254,
0.597026,0.033184,-0.064904,-0.435296,0.441357355,255,
0.603793,0.0305,-0.061488,-0.447008,0.452246809,256,
0.609373,0.038064,-0.062952,-0.449936,0.455910327,257,
0.614943,0.044164,-0.077836,-0.448228,0.457074657,258,
0.62072,0.049532,-0.104188,-0.434564,0.449615868,259,
0.626284,0.055388,-0.112972,-0.42212,0.440472244,260,
0.631886,0.06222,-0.107848,-0.410652,0.429112555,261,
0.637479,0.124196,-0.006344,-0.397476,0.416475766,262,
0.643233,0.013908,-0.176656,-0.400648,0.438086287,263,
0.648883,0.041968,-0.103456,-0.382348,0.398314511,264,
0.654574,0.078568,-0.043188,-0.367952,0.37871732,265,
0.660214,0.051728,-0.105164,-0.384056,0.401539866,266,
0.665835,0.063684,0.059536,-0.31232,0.324259109,267,
0.671453,0.000488,-0.05734,-0.34892,0.353600453,268,
0.677077,0.067344,-0.109556,-0.324032,0.348617941,269,
0.682774,0.025864,-0.021228,-0.338184,0.339835243,270,
0.689231,0.018788,-0.043188,-0.327692,0.331059268,271,
0.695835,0.019764,-0.094672,-0.33306,0.346817484,272,
0.705422,0.014884,-0.048556,-0.347456,0.351147961,273,
0.711045,0.030744,0.016104,-0.3172,0.319093047,274,
0.716613,0.020496,-0.039772,-0.324764,0.327831593,275,
0.722352,0.03782,-0.037576,-0.308416,0.312989995,276,
0.727985,0.049044,-0.03172,-0.300852,0.306469245,277,
0.733677,0.053192,-0.03416,-0.300608,0.307183112,278,
0.739286,0.061,-0.05002,-0.323544,0.333022102,279,
0.744914,0.063684,-0.08174,-0.341356,0.356736595,280,
0.753493,0.056608,-0.103944,-0.35136,0.370759586,281,
0.760765,0.071492,-0.096868,-0.354044,0.373954101,282,
0.766351,0.072712,-0.105652,-0.35136,0.374036402,283,
0.771962,0.083692,-0.119804,-0.35502,0.383922583,284,
0.777599,0.084912,-0.130296,-0.358436,0.390721719,285,
0.783256,0.08052,-0.130296,-0.373808,0.403971458,286,
0.788803,0.083692,-0.11102,-0.380884,0.405465674,287,
0.794744,0.08174,-0.082228,-0.390644,0.40748694,288,
0.800366,0.070028,-0.07564,-0.39894,0.412041811,289,
0.805989,0.07076,-0.088572,-0.404308,0.419901102,290,
0.811609,0.065636,-0.095648,-0.399672,0.416166231,291,
0.821675,0.000732,-0.118828,-0.323788,0.344904767,292,
0.827336,0.044896,-0.122488,-0.35868,0.381667792,293,
0.833014,0.03172,-0.109556,-0.350872,0.368944218,294,
0.838633,0.014396,-0.104188,-0.346236,0.361858746,295,
0.844371,0.001708,-0.11224,-0.351848,0.36932066,296,
0.850059,0.000732,-0.102968,-0.342088,0.357249415,297,
0.85596,0.005612,-0.077592,-0.338916,0.347729878,298,
0.861709,0.007808,-0.066124,-0.352092,0.358332422,299,
0.867351,0.003416,-0.073444,-0.36356,0.370919889,300,
0.873033,0.006588,-0.0915,-0.380152,0.391064183,301,
0.878661,0.009272,-0.11346,-0.382348,0.398935001,302,
0.884372,0.01586,-0.121512,-0.384056,0.403132381,303,
0.890061,0.017812,-0.133468,-0.386252,0.409049608,304,
0.895675,0.017324,-0.149084,-0.38796,0.415979713,305,
0.901312,0.007808,-0.164212,-0.395524,0.428329056,306,
0.906927,0.000732,-0.175924,-0.407724,0.444059286,307,
0.91263,0.00122,-0.175436,-0.422364,0.457351754,308,
0.918248,0.001708,-0.1769,-0.438468,0.4728115,309,
0.923997,0.058804,-0.192516,-0.448716,0.491799115,310,
0.929622,-0.001464,-0.206912,-0.450424,0.495677818,311,
0.935249,0.000976,-0.217892,-0.441396,0.492248215,312,
0.941046,0.004636,-0.214476,-0.429196,0.479823565,313,
0.946673,0.005612,-0.20862,-0.406992,0.457379806,314,
0.952378,0.005856,-0.188368,-0.397476,0.439890858,315,
0.958004,0.008784,-0.175192,-0.39162,0.429110265,316,
0.963737,0.008052,-0.162748,-0.393328,0.425744832,317,
0.969377,0.004392,-0.165432,-0.399672,0.432579176,318,
0.975016,0.011468,-0.165432,-0.407968,0.440382959,319,
0.980637,0.009028,-0.165432,-0.401868,0.434680504,320,
0.986263,0.009028,-0.164944,-0.384056,0.418075399,321,
0.991902,0.020008,-0.162748,-0.366976,0.401943548,322,
0.997531,0.033428,-0.17324,-0.345016,0.387512024,323,
